date,fruitId,marketId,highPrice,lowPrice,avgPrice,openPrice,closePrice,volume
2021-01-01,F01,BJ001,12.59,9.97,11.52,10.95,11.26,35183
2021-01-01,F01,CD001,11.96,9.75,11.33,11.42,11.49,33358
2021-01-01,F01,GZ001,13.27,10.97,11.72,11.81,12.0,14414
2021-01-01,F01,HN001,11.52,9.91,10.63,10.49,10.31,16359
2021-01-01,F01,SH001,13.82,11.26,12.21,12.13,12.53,41794
2021-01-01,F01,SZ001,13.27,11.41,12.51,11.93,12.8,49141
2021-01-01,F01,WH001,11.72,9.8,10.94,11.23,10.78,17865
2021-01-01,F01,XA001,12.19,9.16,10.74,11.15,10.65,31948
2021-01-01,F02,BJ001,8.38,7.27,7.85,7.49,7.85,21931
2021-01-01,F02,CD001,7.69,6.17,7.1,7.28,7.02,33531
2021-01-01,F02,GZ001,8.34,6.67,7.52,7.25,7.72,47587
2021-01-01,F02,HN001,8.46,6.3,7.38,7.45,7.48,20317
2021-01-01,F02,SH001,8.61,7.37,7.93,7.75,7.81,12812
2021-01-01,F02,SZ001,8.83,7.55,8.02,8.04,8.26,22776
2021-01-01,F02,WH001,7.46,6.46,7.03,7.0,7.1,16441
2021-01-01,F02,XA001,8.13,6.79,7.3,7.42,7.42,40081
2021-01-01,F03,BJ001,22.54,17.39,20.13,20.38,20.71,48942
2021-01-01,F03,CD001,19.13,17.19,18.17,17.78,18.26,49590
2021-01-01,F03,GZ001,22.09,19.63,20.71,20.01,21.24,47909
2021-01-01,F03,HN001,19.72,15.78,17.58,16.7,17.47,27147
2021-01-01,F03,SH001,23.35,19.5,21.13,21.05,21.38,27516
2021-01-01,F03,SZ001,21.65,17.82,19.68,18.87,19.41,47456
2021-01-01,F03,WH001,21.36,18.08,19.38,20.24,19.08,49951
2021-01-01,F03,XA001,20.17,16.96,18.2,17.99,17.86,23484
2021-01-01,F04,BJ001,8.7,7.28,7.92,7.98,7.89,21185
2021-01-01,F04,CD001,7.27,6.22,6.76,7.0,6.75,34847
2021-01-01,F04,GZ001,7.98,6.85,7.37,7.33,7.37,45458
2021-01-01,F04,HN001,7.1,6.04,6.68,6.45,6.87,42692
2021-01-01,F04,SH001,8.6,7.24,7.91,8.03,8.01,10109
2021-01-01,F04,SZ001,7.54,6.04,7.09,7.24,7.24,22422
2021-01-01,F04,WH001,7.14,5.92,6.75,7.06,6.93,27072
2021-01-01,F04,XA001,7.59,5.98,6.82,7.09,6.68,23264
2021-01-01,F05,BJ001,10.01,7.92,9.16,9.48,8.92,18578
2021-01-01,F05,CD001,8.66,7.24,8.23,7.84,8.14,8308
2021-01-01,F05,GZ001,9.34,7.7,8.14,8.13,8.36,41475
2021-01-01,F05,HN001,7.75,6.61,7.16,7.19,6.98,33603
2021-01-01,F05,SH001,9.91,8.08,9.07,9.43,9.1,27178
2021-01-01,F05,SZ001,9.36,7.27,8.52,8.27,8.47,49534
2021-01-01,F05,WH001,8.77,6.95,8.02,7.81,7.87,37035
2021-01-01,F05,XA001,8.44,6.64,7.43,7.58,7.48,30164
2021-01-01,F06,BJ001,9.39,7.48,8.25,8.44,8.21,13587
2021-01-01,F06,CD001,8.31,6.43,7.26,7.33,7.45,13175
2021-01-01,F06,GZ001,9.12,7.54,8.14,8.43,8.3,28634
2021-01-01,F06,HN001,7.78,5.95,6.84,6.54,6.73,31535
2021-01-01,F06,SH001,9.44,7.71,8.87,9.28,9.02,15770
2021-01-01,F06,SZ001,9.55,7.66,8.31,8.53,8.08,19964
2021-01-01,F06,WH001,8.42,6.44,7.45,7.24,7.42,23972
2021-01-01,F06,XA001,8.59,7.72,8.14,8.38,8.03,37298
2021-01-01,F07,BJ001,37.88,32.55,35.43,36.51,34.39,7209
2021-01-01,F07,CD001,36.64,27.85,32.46,32.4,32.38,31954
2021-01-01,F07,GZ001,38.41,30.59,34.71,35.5,34.67,21544
2021-01-01,F07,HN001,36.66,30.35,32.79,33.25,31.94,44281
2021-01-01,F07,SH001,40.16,34.91,37.11,35.48,36.2,35721
2021-01-01,F07,SZ001,42.7,34.94,37.61,36.02,38.26,29637
2021-01-01,F07,WH001,36.11,29.93,33.41,34.83,34.35,22810
